İç Kod (Internal Code);Firma (Company);Kalite Kodu (Article);Kalite Adı (Name);Desen Kodu (Design);En (Width);Gramaj (Weight);Karışım (Composition);Barkod / QR;Kayıt Tarihi (Created At)
ELT0000026;SERA TEKSTIL;SR 1094;NATAN;;165 CM;370 -- 390 GR/M2;71% PES 23% VISCOSE 6% EA;;2026-08-13 13:43:27
ELT0000025;SERA TEKSTIL;SR 1187;AS KAZ AYAGI;;150 CM;270 GR/M2;70% PES 28% VISCOSE 2% EA;;2026-08-13 13:42:47
ELT0000024;SERA TEKSTIL;SR 1188;CIZGI OTTOMAN;;145 CM;285 GR/M2;% 50 COT % 47 PES % 3 EA;;2026-08-13 13:42:43
ELT0000023;SERA TEKSTİL;SR 1189;OR CIGI JAKAR;;130 CM;295 GR/M2;% 88 COT % 10 PES % 2 EA;;2026-08-13 13:42:38
ELT0000022;SERA TEKSTİL;SR 1190;OR EKOSE JAKAR;;135 CM;255 GR/M2;% 75 PES % 21 VIS % 4 EA;;2026-08-13 13:42:34
ELT0000021;SERA TEKSTİL;SR 1191;SU YOLU JAKAR;;150 CM;200 GR/M2;%70 COT %27 PES %3 EA;;2026-08-13 13:42:20
ELT0000020;HİLATEKS TEKSTİL;3588/323;HİLATEKS;;150 CM (±%5);300 GR/M2 (±%5);%75 COT %25 PES;;2026-08-13 13:42:13
ELT0000019;HİLATEKS TEKSTİL;1028;HİLATEKS;;140 CM;260 GR/M2;%100 COTTON;;2026-08-13 13:42:04
ELT0000018;HİLATEKS TEKSTİL;3590/FP;HİLATEKS;;140 (±%5);350 GR/M2 (±% 5);%70 PES %30 PA;;2026-08-13 13:41:57
ELT0000017;SOYLU ÖRME KUMAŞÇILIK A.Ş.;TRJ5164V;;WJ1-4678;165 CM ± 5;290 GR/M2 ± 5;%75 PES %20 COTTON %5 ELASTAN;40772;2026-08-13 11:50:05
ELT0000016;BEZTAS;30060;30060 MARVIN;64098;135 CM (+-5);170 GR/M2(+-5);%77 RAYON %22VISCOSE %1ELASTHAN;30060 64098-5022/M;2026-08-13 09:54:57
ELT0000015;CELIKTAS;JCMKTR 1228 BYL;;;140(+/-5%);285(+/-10GR);55% COTTON 42% POLYESTER 3% EA;26040016;2026-08-13 07:40:46
ELT0000014;SMS FABRIC;K6454;BRUNO;66372-D / 2;163 CM;;;K4004186;2026-08-13 07:31:07
ELT0000013;CONFETTI FABRICS;K6454;BRUNO;65477-D / 6;163 CM;210-220 GR/M2;VIS EL;K4004095;2026-08-13 07:30:56
ELT0000012;ARTEKS;ART-9764;%92 PES%8 EA TÜL;10304 / RE-1;160 CM;;%92 PES %8 EA TÜL;ART-9764;2026-08-13 07:30:14
ELT0000011;CELIKTAS;JCMKTR 1084/75B;;;150 (+/-5%);300 (+/-10GR);55% COTTON 43% POLYESTER 2% EA;14007234;2026-08-13 07:27:13
ELT0000010;IPEKER;00895;HANA;32839 IJ4;145± 0 CM;280± 5 GR/M²;96% VISCOSE 4% ELASTANE;KV275890;2026-08-13 07:23:08
ELT0000009;IPEKER;00423;MELANIE;30631;133 CM;;;K3336407;2026-08-13 07:11:57
ELT0000008;KBC E.MIROGLIO EAD;32190;VISCHIO ST;42170 905;145/142;;097 % VISCOSE 003 % METALLIZED POLYESTER;51143698;2026-08-13 07:11:50
ELT0000007;IPEKER;40227V;ECOVERO ROSA;33221;130 ± 0 CM;105 ± 5 GR/M²;62% VISCOSE 25% POLYAMIDE 13% LINEN;K1345067;2026-08-10 15:31:28
ELT0000006;EMİN ÖRME;EMIN-1195;;;145 CM +/- %5;290 GR M2 +/- %5;%50 PES %34 COTTON %15 LUREX %1 EA;;2026-08-06 07:54:13
ELT0000005;SEFA ÖRME;SEFA-2025-00030;INTERLOK;;160 CM;255 GR/M²;%100 COTTON;135;2026-08-06 07:42:05
ELT0000004;BÜNYEM TEKSTİL;ART 3274;;BN 8750;165 CMS +/- %5;225 GR/M2 +/- %3;%73 AKR %25 PES %2 SİM;;2026-08-06 07:29:38
ELT0000003;Lami textile;Astoria;25092;1000 SILVER;150 CM (+/- %3);300 GR/M2 (+/- %5);82%pes14%cot4%ea;3226340;2026-08-06 07:10:02
ELT0000002;Bünyem;3274;;BN 8750;165 cms +/- %5;225 gr/m2 +/- %3;%73 AKR %25 PES %2 SİM;;2026-08-06 07:01:58
ELT0000001;ÖZÇİMEN TEXTILE;J-6039;;ZN-1583;157 cm (±3);225 GrM2 (±%5);42%VIS/30%CO/25%PL/3%MTL;000000508522;2026-08-06 06:55:10
